🛰️电视直播,#genre#
CCTV1-综合,http://gouwu.pthv.gitv.tv:91/live/CCTV1-1500k/live.m3u8
CCTV1-综合,http://gouwu.pthv.gitv.tv:91/live/CCTV1hd-8M/live.m3u8
CCTV1-综合,http://218.3.138.25:1111/tsfile/live/1000_1.m3u8
CCTV1-综合,http://58.51.111.46:1111/tsfile/live/0001_1.m3u8
CCTV2-财经,http://gouwu.pthv.gitv.tv:91/live/CCTV2-1500k/live.m3u8
CCTV2-财经,http://gouwu.pthv.gitv.tv:91/live/CCTV2hd-8M/live.m3u8
CCTV2-财经,http://218.3.138.25:1111/tsfile/live/1001_1.m3u8
CCTV2-财经,http://113.57.103.216:9000/tsfile/live/0002_1.m3u8
CCTV3-综艺,http://gouwu.pthv.gitv.tv:91/live/CCTV3-1500k/live.m3u8
CCTV3-综艺,http://gouwu.pthv.gitv.tv:91/live/CCTV3hd-8M/live.m3u8
CCTV3-综艺,http://218.3.138.25:1111/tsfile/live/1002_1.m3u8
CCTV4-中文国际,http://gouwu.pthv.gitv.tv:91/live/CCTV4-1500k/live.m3u8
CCTV4-中文国际,http://gouwu.pthv.gitv.tv:91/live/CCTV4hd-8M/live.m3u8
CCTV5-体育,http://gouwu.pthv.gitv.tv:91/live/CCTV5-1500k/live.m3u8
CCTV5-体育,http://gouwu.pthv.gitv.tv:91/live/CCTV5hd-8M/live.m3u8
CCTV5-体育,http://218.3.138.25:1111/tsfile/live/1004_1.m3u8
CCTV5+体育赛事,http://gouwu.pthv.gitv.tv:91/live/CCTV5+hd-8M/live.m3u8
CCTV5+体育赛事,http://124.238.110.59:9999/tsfile/live/0016_1.m3u8
CCTV6-电影,http://gouwu.pthv.gitv.tv:91/live/CCTV6-1500k/live.m3u8
CCTV6-电影,http://gouwu.pthv.gitv.tv:91/live/CCTV6hd-8M/live.m3u8
CCTV6-电影,http://218.3.138.25:1111/tsfile/live/1005_1.m3u8
CCTV7-国防军事,http://gouwu.pthv.gitv.tv:91/live/CCTV7-1500k/live.m3u8
CCTV7-国防军事,http://gouwu.pthv.gitv.tv:91/live/CCTV7hd-8M/live.m3u8
CCTV8-电视剧,http://gouwu.pthv.gitv.tv:91/live/CCTV8-1500k/live.m3u8
CCTV8-电视剧,http://gouwu.pthv.gitv.tv:91/live/CCTV8hd-8M/live.m3u8
CCTV8-电视剧,http://218.3.138.25:1111/tsfile/live/1007_1.m3u8
CCTV8-电视剧,http://113.57.103.216:9000/tsfile/live/0008_1.m3u8
CCTV8-电视剧,http://61.184.128.243:1111/tsfile/live/0008_1.m3u8
CCTV9-纪录,http://gouwu.pthv.gitv.tv:91/live/CCTV9-1500k/live.m3u8
CCTV9-纪录,http://gouwu.pthv.gitv.tv:91/live/CCTV9hd-8M/live.m3u8
CCTV10-科教,http://gouwu.pthv.gitv.tv:91/live/CCTV10-1500k/live.m3u8
CCTV10-科教,http://gouwu.pthv.gitv.tv:91/live/CCTV10hd-8M/live.m3u8
CCTV10-科教,http://113.57.103.216:9000/tsfile/live/0010_1.m3u8
CCTV11-戏曲,http://gouwu.pthv.gitv.tv:91/live/CCTV11-1500k/live.m3u8
CCTV11-戏曲,http://gouwu.pthv.gitv.tv:91/live/CCTV11hd-8M/live.m3u8
CCTV11-戏曲,http://113.57.103.216:9000/tsfile/live/0011_1.m3u8
CCTV12-社会与法,http://gouwu.pthv.gitv.tv:91/live/CCTV12-1500k/live.m3u8
CCTV12-社会与法,http://gouwu.pthv.gitv.tv:91/live/CCTV12hd-8M/live.m3u8
